"rgmod","rgcont","id_pays","pays","pays_trad","pays_orig","population","continent","lien","nb_cas","nb_mort","nb_gueri","nb_teste","nb_actif","p_mort","p_gueri","p_actif","n_cas","n_gueri","n_mort","nb_rea"
"116","38","112","Latvia","Lettonie","Lettonie","1878220","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","10547","123","1515","538766","8909","0.0117","0.1436","0.8447","316","0","2","14"
"117","21","102","Jamaica","Jamaïque","Jamaïque","2966036","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","9884","231","5248","104757","4405","0.0234","0.5310","0.4457","104","20","2","6"
"118","23","34","Cabo Verde","Cap-Vert","Cap-Vert","558246","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","9822","103","9220","101878","499","0.0105","0.9387","0.0508","42","72","1","23"
"119","22","88","Haiti","Haiti","Haiti","11454455","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","9168","232","7701","33073","1235","0.0253","0.8400","0.1347","0","0","0",
"120","24","72","Gabon","Gabon","Gabon","2245095","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","9062","58","8939","266271","65","0.0064","0.9864","0.0072","0","0","0","7"
"121","25","216","Zimbabwe","Zimbabwe","Zimbabwe","14943535","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","8829","257","8096","171983","476","0.0291","0.9170","0.0539","43","0","0",
"122","26","27","Botswana","Botswana","Botswana","2369203","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","8225","27","5559","330611","2639","0.0033","0.6759","0.3209","0","0","0","1"
"123","23","81","Guadeloupe","Guadeloupe","France","400150","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","8098","139","2242","74138","5717","0.0172","0.2769","0.7060","0","0","0","15"
"124","39","124","Malta","Malte","Malte","441987","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","8034","97","5765","383129","2172","0.0121","0.7176","0.2704","117","63","2","13"
"125","27","126","Mauritania","Mauritanie","Mauritanie","4694569","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","7952","165","7524","95389","263","0.0207","0.9462","0.0331","4","8","0","4"
"126","40","62","Estonia","Estonie","Estonie","1326872","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","7637","81","4741","401036","2815","0.0106","0.6208","0.3686","226","33","1","9"
"127","24","48","Cuba","Cuba","Cuba","11323998","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","7590","131","7060","969339","399","0.0173","0.9302","0.0526","22","45","0","2"
"128","25","14","Bahamas","Bahamas","Bahamas","394652","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","7186","156","5323","39592","1707","0.0217","0.7407","0.2375","23","41","1","3"
"129","36","50","Cyprus","Chypre","Chypre","1210660","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","7178","39","2021","532789","5118","0.0054","0.2816","0.7130","127","0","0","7"
"130","28","163","Réunion","Réunion","France","897712","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","6881","29","5928","48859","924","0.0042","0.8615","0.1343","0","0","0","21"
"131","37","193","Syria","Syrie","Syrie","17657258","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","6684","345","2714","0","3625","0.0516","0.4060","0.5423","71","49","4",
"132","29","63","Eswatini","Swaziland","Swaziland","1164661","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","6095","119","5779","55581","197","0.0195","0.9482","0.0323","2","8","0","11"
"133","26","199","Trinidad and Tobago","Trinité-et-Tobago","Trinité-et-Tobago","1401197","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","6080","112","5402","34914","566","0.0184","0.8885","0.0931","3","29","0","3"
"134","30","120","Malawi","Malawi","Malawi","19311700","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","5965","185","5399","68555","381","0.0310","0.9051","0.0639","1","0","0","4"
"135","41","4","Andorra","Andorre","Andorre","77312","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","5872","76","4747","154640","1049","0.0129","0.8084","0.1786","147","72","1","20"
"136","27","144","Nicaragua","Nicaragua","Nicaragua","6654007","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","5661","158","4225","0","1278","0.0279","0.7463","0.2258","0","0","0",
"137","31","54","Djibouti","Djibouti","Djibouti","993353","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","5649","61","5525","88410","63","0.0108","0.9780","0.0112","4","6","0",
"138","2","82","Guam","Guam","Etats-Unis","165768","Océanie","https://c8.alamy.com/comp/R5G7N2/australia-continent-map-vector-illustration-on-white-background-R5G7N2.jpg","5597","80",,"0",,"0.0143",,,"0",,"0",
"139","32","44","Congo","Congo","Congo","5568098","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","5515","92","3887","0","1536","0.0167","0.7048","0.2785","0","0","0",
"140","38","220","Hong Kong","Hong Kong","Hong Kong","7519805","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","5459","108","5187","3753969","164","0.0198","0.9502","0.0300","14","0","0","6"
"141","33","166","Rwanda","Rwanda","Rwanda","13070415","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","5455","45","4995","586989","415","0.0082","0.9157","0.0761","61","1","3",
"142","28","190","Suriname","Suriname","Suriname","588603","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","5274","114","5148","20467","12","0.0216","0.9761","0.0023","0","5","0","5"
"143","42","92","Iceland","Islande","Islande","342075","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","5189","25","4813","374662","351","0.0048","0.9275","0.0676","3","46","0","3"
"144","34","60","Equatorial Guinea","Guinée équatoriale","Guinée équatoriale","1419787","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","5104","85","4973","67412","46","0.0167","0.9743","0.0090","0","0","0","1"
"145","35","128","Mayotte","Mayotte","France","275240","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","4921","46","2964","18173","1911","0.0093","0.6023","0.3883","0","0","0","5"
"146","36","39","Central African Republic","Centrafricaine","Centrafricaine","4860952","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","4900","63","1924","32711","2913","0.0129","0.3927","0.5945","4","0","0","2"
"147","29","87","Guyana","Guyana","Guyana","787981","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","4823","139","3777","24664","907","0.0288","0.7831","0.1881","29","52","1","9"
"148","30","20","Belize","Belize","Belize","400306","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","4783","88","2564","26985","2131","0.0184","0.5361","0.4455","68","25","3","4"
"149","31","125","Martinique","Martinique","France","375155","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","4732","37","98","60432","4597","0.0078","0.0207","0.9715","0","0","0","16"
"150","32","10","Aruba","Aruba","Pays-Bas","106937","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","4662","44","4534","44336","84","0.0094","0.9725","0.0180","4","13","0","4"
"151","37","184","Somalia","Somalie","Somalie","16055843","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","4301","107","3330","0","864","0.0249","0.7742","0.2009","0","0","0",
"152","33","209","Uruguay","Uruguay","Uruguay","3478270","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","4030","65","3233","370424","732","0.0161","0.8022","0.1816","73","58","1","10"
"153","38","123","Mali","Mali","Mali","20464518","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","3900","141","2949","86725","810","0.0362","0.7562","0.2077","32","12","2",
"154","39","196","Thailand","Thaïlande","Thaïlande","69866092","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","3874","60","3715","977854","99","0.0155","0.9590","0.0256","8","8","0","1"
"155","39","73","Gambia","Gambia","Gambia","2441562","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","3702","122","3571","22362","9","0.0330","0.9646","0.0024","0","4","0",
"156","40","186","South Sudan","Sud-soudan","Sud-soudan","11242776","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","3003","59","1290","12044","1654","0.0196","0.4296","0.5508","0","0","0",
"157","41","21","Benin","Benin","Benin","12239900","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","2844","43","2515","269280","286","0.0151","0.8843","0.1006","0","0","0",
"158","42","198","Togo","Togo","Togo","8350269","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","2675","61","1920","134757","694","0.0228","0.7178","0.2594","24","35","0",
"159","43","32","Burkina Faso","Burkina Faso","Burkina Faso","21113613","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","2641","68","2445","0","128","0.0257","0.9258","0.0485","6","19","0",
"160","44","86","Guinea-Bissau","Guinée-Bissau","Guinée-Bissau","1985148","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","2419","43","2255","27486","121","0.0178","0.9322","0.0500","0","0","0","5"
"161","45","179","Sierra Leone","Sierra Leone","Sierra Leone","8037018","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","2391","74","1820","0","497","0.0309","0.7612","0.2079","0","4","0",
"162","40","214","Yemen","Yeman","Yeman","30068590","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","2072","605","1394","16658","73","0.2920","0.6728","0.0352","0","0","0",
"163","46","219","Lesotho","Lesotho","Lesotho","2148623","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","2041","44","1056","24030","941","0.0216","0.5174","0.4610","0","0","0",
"164","3","143","New Zealand","Nouvelle-Zélande","Nouvelle-Zélande","5002100","Océanie","https://c8.alamy.com/comp/R5G7N2/australia-continent-map-vector-illustration-on-white-background-R5G7N2.jpg","2001","25","1918","1179587","58","0.0125","0.9585","0.0290","3","0","0",
"165","47","40","Chad","Tchad","Tchad","16598561","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","1597","101","1443","0","53","0.0632","0.9036","0.0332","6","4","1",
"166","48","114","Liberia","Liberia","Liberia","5101510","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","1507","82","1314","32308","111","0.0544","0.8719","0.0737","9","0","0","2"
"167","34","208","United States Virgin Islands","Îles Vierges des États-Unis","Etats-Unis","106977","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","1362","21",,"0",,"0.0154",,,"0",,"0",
"168","35","49","Curaçao","Curaçao","Curaçao","164346","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","1340","2","928","16267","410","0.0015","0.6925","0.3060","33","5","0","1"
"169","49","145","Niger","Niger","Niger","24524714","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","1307","70","1148","41945","89","0.0536","0.8783","0.0681","6","1","0","9"
"170","41","212","Vietnam","Vietnam","Vietnam","97666909","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","1281","35","1103","1339465","143","0.0273","0.8610","0.1116","25","0","0",
"171","43","173","San Marino","Saint-Marin","Saint-Marin","33958","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","1253","42","888","13396","323","0.0335","0.7087","0.2578","0","0","0","3"
"172","44","104","Jersey","Jersey","Royaume-Uni","174464","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","1003","48","816","165849","139","0.0479","0.8136","0.1386","0","1","0","10"
"173","45","116","Liechtenstein","Liechtenstein","Liechtenstein","38169","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","985","5","682","9155","298","0.0051","0.6924","0.3025","15","0","0","12"
"174","50","174","São Tomé and Príncipe","Sao Tomé-et-Principe","Sao Tomé-et-Principe","220668","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","965","16","917","7071","32","0.0166","0.9503","0.0332","1","0","0",
"175","36","181","Sint Maarten","Sint Maarten","Pays-Bas","43058","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","933","24","835","7058","74","0.0257","0.8950","0.0793","10","0","0","6"
"176","46","77","Gibraltar","Gibraltar","Royaume-Uni","33687","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","902","1","754","78142","147","0.0011","0.8359","0.1630","15","12","0","7"
"177","37","202","Turks and Caicos Islands","Turks and Caicos Islands","Royaume-Uni","38912","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","720","6","695","5808","19","0.0083","0.9653","0.0264","0","0","0","1"
"178","42","95","International conveyance (Diamond Princess)","Navire de croisière (Diamond Princess)","Japon",,"Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","712","13","659","0","40","0.0183","0.9256","0.0562","0","0","0","4"
"179","38","170","Saint Martin","Saint Martin","France","38911","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","655","12","551","6906","92","0.0183","0.8412","0.1405","0","0","0","4"
"180","51","33","Burundi","Burundi","Burundi","12020368","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","628","1","549","56870","78","0.0016","0.8742","0.1242","1","0","0",
"181","43","194","Taiwan","Taiwan","Taiwan","23833059","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","602","7","536","105589","59","0.0116","0.8904","0.0980","2","1","0",
"181","4","154","Papua New Guinea","Papouasie-Nouvelle-Guinée","Papouasie-Nouvelle-Guinée","9009850","Océanie","https://c8.alamy.com/comp/R5G7N2/australia-continent-map-vector-illustration-on-white-background-R5G7N2.jpg","602","7","586","30027","9","0.0116","0.9734","0.0150","2","0","0",
"182","52","217","Comoros","Comores","Comores","876449","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","579","7","549","0","23","0.0121","0.9482","0.0397","0","0","0",
"183","47","131","Monaco","Monaco","Monaco","39347","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","548","2","450","51953","96","0.0036","0.8212","0.1752","3","4","0","5"
"184","53","195","Tanzania","Tanzanie","Tanzanie","60357780","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","509","21","183","0","305","0.0413","0.3595","0.5992","0","0","0","7"
"185","48","66","Faroe Islands","Îles Féroé","France","48933","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","498","0","495","161301","3","0.0000","0.9940","0.0060","1","1","0",
"186","54","61","Eritrea","Érythrée","Érythrée","3564723","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","493","0","444","0","49","0.0000","0.9006","0.0994","0","0","0",
"187","55","127","Mauritius","Maurice","Maurice","1272565","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","478","10","431","278091","37","0.0209","0.9017","0.0774","8","3","0",
"188","44","132","Mongolia","Mongolie","Mongolie","3297924","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","428","0","328","98390","100","0.0000","0.7664","0.2336","12","0","0","2"
"189","45","23","Bhutan","Bhoutan","Bhoutan","774786","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","375","0","353","188891","22","0.0000","0.9413","0.0587","6","5","0",
"190","49","99","Isle of Man","île de Man","Royaume-Uni","85202","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","363","25","329","17173","9","0.0689","0.9063","0.0248","0","0","0",
"191","46","35","Cambodia","Cambodge","Cambodge","16805242","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","302","0","289","208154","13","0.0000","0.9570","0.0430","0","0","0",
"192","50","84","Guernsey","Guernsey","Royaume-Uni","67052","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","268","13","245","0","10","0.0485","0.9142","0.0373","0","0","0",
"193","39","38","Cayman Islands","îles Caïmans","Royaume-Uni","66010","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","254","1","240","49176","13","0.0039","0.9449","0.0512","0","0","0","1"
"194","40","17","Barbados","Barbade","Barbade","287508","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","250","7","238","42022","5","0.0280","0.9520","0.0200","1","4","0",
"195","41","22","Bermuda","Bermuda","Royaume-Uni","62191","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","222","9","189","95919","24","0.0405","0.8514","0.1081","0","0","0",
"196","42","169","Saint Lucia","Sainte-Lucie","Sainte-Lucie","183943","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","162","2","46","13857","114","0.0123","0.2840","0.7037","2","0","0",
"197","56","178","Seychelles","Seychelles","Seychelles","98576","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","160","0","157","5200","3","0.0000","0.9813","0.0188","0","0","0",
"198","43","25","Bonaire, Sint Eustatius and Saba","Saint-Eustache","Pays-Bas","26314","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","155","3","151","3377","1","0.0194","0.9742","0.0065","0","0","0",
"199","47","30","Brunei Darussalam","Brunei Darussalam","Brunei Darussalam","439048","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","148","3","145","72550","0","0.0203","0.9797","0.0000","0","0","0",
"200","44","7","Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda","98233","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","134","4","127","4137","3","0.0299","0.9478","0.0224","0","0","0",
"201","45","167","Saint Barthelemy","Saint Barthelemy","France","9888","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","109","0","83","4445","26","0.0000","0.7615","0.2385","0","0","0",
"202","5","148","Northern Mariana Islands","îles Mariannes du Nord","France","56882","Océanie","https://c8.alamy.com/comp/R5G7N2/australia-continent-map-vector-illustration-on-white-background-R5G7N2.jpg","92","2",,"0",,"0.0217",,,"0",,"0",
"203","46","172","Saint Vincent and the Grenadines","Saint-Vincent-et-les-Grenadines","Saint-Vincent-et-les-Grenadines","111073","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","78","0","77","8198","1","0.0000","0.9872","0.0128","0","0","0",
"204","47","29","British Virgin Islands","British Virgin Islands","Royaume-Uni","30307","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","71","1","70","5193","0","0.0141","0.9859","0.0000","0","0","0",
"205","48","55","Dominica","Dominique","Dominique","72053","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","68","0","41","5160","27","0.0000","0.6029","0.3971","0","0","0",
"206","48","221","Macao","Macao","Chine","652636","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","46","0","46","4238","0","0.0000","1.0000","0.0000","0","0","0",
"207","6","67","Fiji","Fidji","Fidji","898885","Océanie","https://c8.alamy.com/comp/R5G7N2/australia-continent-map-vector-illustration-on-white-background-R5G7N2.jpg","35","2","32","14152","1","0.0571","0.9143","0.0286","0","0","0",
"208","49","80","Grenada","Grenada","Grenada","112719","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","32","0","27","6252","5","0.0000","0.8438","0.1563","0","0","0",
"209","7","142","New Caledonia","Nouvelle-Calédonie","France","286526","Océanie","https://c8.alamy.com/comp/R5G7N2/australia-continent-map-vector-illustration-on-white-background-R5G7N2.jpg","30","0","28","16397","2","0.0000","0.9333","0.0667","0","0","0",
"209","49","197","Timor-Leste","Timor oriental","Timor oriental","1327753","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","30","0","30","12487","0","0.0000","1.0000","0.0000","0","0","0",
"210","51","89","Holy See","Saint-Siège","Italie","825","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","27","0","15","0","12","0.0000","0.5556","0.4444","0","0","0",
"211","50","111","Lao Peoples Democratic Republic","Laos","Laos","7314896","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","24","0","23","71020","1","0.0000","0.9583","0.0417","0","0","0",
"212","50","168","Saint Kitts and Nevis","Saint-Christophe-et-Niévès","Saint-Christophe-et-Niévès","53340","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","19","0","19","3369","0","0.0000","1.0000","0.0000","0","0","0",
"213","51","79","Greenland","Greenland","Danemark","56807","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","18","0","17","12026","1","0.0000","0.9444","0.0556","0","0","0",
"214","8","223","Solomon Islands","Îles Salomon","Îles Salomon","693087","Océanie","https://c8.alamy.com/comp/R5G7N2/australia-continent-map-vector-illustration-on-white-background-R5G7N2.jpg","16","0","5","115","11","0.0000","0.3125","0.6875","0","0","0",
"214","52","171","Saint Pierre and Miquelon","Saint Pierre and Miquelon","France","5783","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","16","0","12","2624","4","0.0000","0.7500","0.2500","0","0","0",
"215","53","65","Falkland Islands","Îles Falkland","Royaume-Uni","3517","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","15","0","13","3417","2","0.0000","0.8667","0.1333","0","0","0",
"216","54","134","Montserrat","Montserrat","Royaume-Uni","4993","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","13","1","12","577","0","0.0769","0.9231","0.0000","0","0","0",
"217","57","213","Western Sahara","Sahara occidental","Sahara occidental","602747","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","10","1","8","0","1","0.1000","0.8000","0.1000","0","0","0",
"218","52","137","MS Zaandam","MS Zaandam","Pays-Bas",,"Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","9","2",,"0",,"0.2222",,,"0",,"0",
"219","55","6","Anguilla","Anguilla","Pays-Bas","15053","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","3","0","3","1820","0","0.0000","1.0000","0.0000","0","0","0",
"220","9","222","Marshall Islands","Îles Marshall","Îles Marshall","59340","Océanie","https://c8.alamy.com/comp/R5G7N2/australia-continent-map-vector-illustration-on-white-background-R5G7N2.jpg","1","0","1","0","0","0.0000","1.0000","0.0000","0","0","0",
"220","9","224","Wallis and Futuna","Wallis et Futuna","France","11163","Océanie","https://c8.alamy.com/comp/R5G7N2/australia-continent-map-vector-illustration-on-white-background-R5G7N2.jpg","1","0","1","1149","0","0.0000","1.0000","0.0000","0","0","0",
"220","9","225","Vanuatu","Vanuatu","Vanuatu","309792","Océanie","https://c8.alamy.com/comp/R5G7N2/australia-continent-map-vector-illustration-on-white-background-R5G7N2.jpg","1","0",,,,"0.0000",,,"0",,"0",
