"rgmod","rgcont","id_pays","pays","pays_trad","pays_orig","population","continent","lien","nb_cas","nb_mort","nb_gueri","nb_teste","nb_actif","p_mort","p_gueri","p_actif","n_cas","n_gueri","n_mort","nb_rea"
"39","13","205","United Arab Emirates","Émirats","Émirats","9935048","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","150345","530","143252","14979407","6563","0.0035","0.9528","0.0437","1210","691","2",
"40","10","153","Panama","Panama","Panama","4340039","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","146653","2873","125370","765482","18410","0.0196","0.8549","0.1255","1344","1099","6","153"
"41","14","105","Jordan","Jordanie","Jordanie","10241068","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","143678","1772","10067","2184026","131839","0.0123","0.0701","0.9176","2373","188","68","447"
"42","11","24","Bolivia","Bolivie","Bolivie","11732407","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","143181","8841","116828","345343","17512","0.0617","0.8159","0.1223","112","323","6","71"
"43","16","91","Hungary","Hongrie","Hongrie","9651044","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","140961","3097","31599","1354742","106265","0.0220","0.2242","0.7539","4238","473","107","569"
"44","15","109","Kuwait","Koweït","Koweït","4294096","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","136840","838","127585","1011566","8417","0.0061","0.9324","0.0615","499","683","3","109"
"45","16","161","Qatar","Qatar","Qatar","2807805","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","135785","234","132784","1048828","2767","0.0017","0.9779","0.0204","215","207","0","37"
"46","12","56","Dominican Republic","République dominicaine","République dominicaine","10888645","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","133724","2285","109981","648559","21458","0.0171","0.8224","0.1605","499","391","3","189"
"47","13","45","Costa Rica","Costa Rica","Costa Rica","5111554","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","123223","1546","75341","341594","46336","0.0125","0.6114","0.3760","0","0","0","203"
"48","17","106","Kazakhstan","Kazakhstan","Kazakhstan","18860630","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","120463","1899","109643","3645655","8921","0.0158","0.9102","0.0741","630","368","0","221"
"49","18","150","Oman","Oman","Oman","5154401","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","120389","1338","111096","571472","7955","0.0111","0.9228","0.0661","947","1046","12","138"
"50","17","9","Armenia","Arménie","Arménie","2965335","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","117337","1763","74984","464001","40590","0.0150","0.6390","0.3459","1482","879","25",
"51","19","103","Japan","Japon","Japon","126329485","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","116677","1883","102837","3035324","11957","0.0161","0.8814","0.1025","1694","848","3","243"
"52","14","83","Guatemala","Guatemala","Guatemala","18038482","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","114885","3932","104438","482294","6515","0.0342","0.9091","0.0567","166","304","12","5"
"53","18","18","Belarus","Biélorussie","Biélorussie","9448146","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","114185","1046","95843","2882743","17296","0.0092","0.8394","0.1515","1315","1506","7",
"54","3","58","Egypt","Egypte","Egypte","103049958","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","110767","6453","101046","1000000","3268","0.0583","0.9122","0.0295","220","100","11","46"
"55","20","113","Lebanon","Liban","Liban","6813826","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","105430","817","60416","1393979","44197","0.0077","0.5730","0.4192","1163","1878","11","314"
"56","4","64","Ethiopia","Ethiopie","Ethiopie","116011939","Afrique","https://www.aftld.org/wp-content/uploads/2019/02/2000px-FlagsMapAfrica.svg-1.png","102720","1569","63866","1562008","37285","0.0153","0.6217","0.3630","399","191","4","319"
"57","15","90","Honduras","Honduras","Honduras","9963208","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","102555","2822","44551","246269","55182","0.0275","0.4344","0.5381","476","315","2","21"
"58","19","31","Bulgaria","Bulgarie","Bulgarie","6928502","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","98251","2130","29375","856616","66746","0.0217","0.2990","0.6793","816","570","39","293"
"59","16","211","Venezuela","Venezuela","Venezuela","28405362","Amérique","https://www.francestickers.com/4796-thickbox/autocollant-drapeau-continent-americain.jpg","97352","851","92373","2250662","4128","0.0087","0.9489","0.0424","419","425","3","117"
"60","20","130","Moldova","Moldavie","Moldavie","4030407","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","89279","2019","70812","415684","16448","0.0226","0.7932","0.1842","507","1286","13","252"
"61","21","182","Slovakia","Slovaquie","Slovaquie","5460642","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","86767","510","30519","966594","55738","0.0059","0.3517","0.6424","1200","1495","0","202"
"62","21","42","China","Chine","Chine","1439323776","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","86338","4634","81319","160000000","385","0.0537","0.9419","0.0045","13","16","0","3"
"63","22","15","Bahrain","Bahreïn","Bahreïn","1723084","Asie","https://akm-img-a-in.tosshub.com/indiatoday/images/bodyeditor/201809/asia-647x2096.jpg?GU.M3UYGZsTQeFQi.NRwDeRGMX2MJSEL","84703","334","82469","1903910","1900","0.0039","0.9736","0.0224","180","169","1","21"
"64","22","177","Serbia","Serbie","Serbie","8723998","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","84568","1009","31536","1507822","52023","0.0119","0.3729","0.6152","3482","0","20","164"
"65","23","47","Croatia","Croatie","Croatie","4095627","Europe","https://bernardenergy.com/wp-content/uploads/2017/07/europe-1974674_1920-898x1024.png","84206","1049","66231","619532","16926","0.0125","0.7865","0.2010","2362","2483","43","194"
